Ad Group,Keyword,Campaign,Criterion Type
recliners,recliners promo,SEM_Sofas,Phrase
recliners,promo recliners,SEM_Sofas,Phrase
recliners,recliners sale,SEM_Sofas,Phrase
recliners,sale recliners,SEM_Sofas,Phrase
recliners,recliners discount,SEM_Sofas,Phrase
recliners,discount recliners,SEM_Sofas,Phrase
sofa beds,sofa beds buy,SEM_Sofas,Phrase
sofa beds,buy sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds price,SEM_Sofas,Phrase
sofa beds,price sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds cost,SEM_Sofas,Phrase
sofa beds,cost sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds promo,SEM_Sofas,Phrase
sofa beds,promo sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds sale,SEM_Sofas,Phrase
sofa beds,sale sofa beds,SEM_Sofas,Phrase
sofa beds,sofa beds discount,SEM_Sofas,Phrase
sofa beds,discount sofa beds,SEM_Sofas,Phrase
